user_location,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
New York,2010-06-24 20:09:30,62,92,149,False,2020-08-12 16:09:38,Why are Shiv Sena and NCP going so far to divert attention from SSR murder? Who are they trying to protect… https://t.co/KWhDbBEEvU,,Twitter for iPhone,False
"Agra, India",2019-10-29 15:14:52,7,235,989,False,2020-08-12 13:37:26,@ARPITAARYA Hii Arpita ji today is black coat me sooo very beautiful lag rahe ho..  aap bhaut maiyaat se #Sushant S… https://t.co/EFCiwzpZCk,['Sushant'],Twitter for Android,False
Bollywood,2008-12-24 08:22:42,4672827,400,1258,True,2020-08-12 10:56:03,"""There is so much noise on my tweet on #Sushant. Does it mean that Sushant was not popular during his life time or… https://t.co/CUPm7zfgoC",['Sushant'],Twitter Web App,False
,2020-05-14 19:18:18,1,5,0,False,2020-08-12 10:43:01,"https://t.co/ekXJPBOjVK

🙏 Video must watch Guys 🙏

❤️ SUSHANT SINGH RAJPUT ❤️

#JusticeForSushant… https://t.co/jXEvHfWFEk",['JusticeForSushant'],Twitter Web App,False
India,2012-11-19 14:48:20,2096,803,14,False,2020-08-12 08:05:08,Ankita Lokhande Shares 'Prayers and Positivity' for Sushant Singh Rajput #AnkitaLokhande #Sushant #Prayer https://t.co/T1RE3KtzN4,"['AnkitaLokhande', 'Sushant', 'Prayer']",Hocalwire Social Share,False
India,2009-04-15 05:13:52,2772,2852,21841,False,2020-08-11 19:30:38,Please follow @iujjawaltrivedi on his youtube channel. Explains everything very coherently. Very good coverage &amp; an… https://t.co/vwB2lTaiAD,,Twitter for iPhone,False
"Bareilly, India",2017-05-20 15:35:06,37,83,1466,False,2020-08-11 18:02:06,"#World4SSR
Worlds first cinema tribute for Sushant Singh Rajput ❤

#sushant #sushantsinghrajput… https://t.co/hnTilcHFaS","['World4SSR', 'sushant', 'sushantsinghrajput']",Twitter for Android,False
"Jamnagar, India",2020-06-28 17:46:09,3,18,152,False,2020-08-11 17:23:03,@republic #sushant was murdered # punish the culprits of sushant singh rajput hang them till death.# Nation wants j… https://t.co/qp4I7jvUBa,['sushant'],Twitter for Android,False
,2019-05-24 10:20:51,7,49,42,False,2020-08-11 17:21:16,"Worlds first cinema tribute for Sushant Singh Rajput ❤

A Forum Films relese.

Video courtesy : Naren Bedekar Photo… https://t.co/KANpuVZoz7",,Twitter for Android,False
"Mumbai, India",2019-09-26 05:38:44,1,5,0,False,2020-08-11 14:18:57,It's high time for taking action rather than cooking stories n supporting culprit....It's about #Sushant singh rajp… https://t.co/MXntGkyUH8,['Sushant'],Twitter for Android,False
Bollywood,2008-12-24 08:22:42,4672827,400,1258,True,2020-08-11 11:50:00,"#Sushant's good friend @Thearjunbijlani stands for late actor and demands justice

https://t.co/HeMhIfHTWF",['Sushant'],TweetDeck,False
India,2017-10-28 09:52:47,516,864,17396,False,2020-08-11 11:01:20,"Solicitor General to the Supreme Court, "" #Sushant Singh Rajput has bn MURDERED bt d #MumbaiPolice posing it as SUI… https://t.co/nMOpH3gm92","['Sushant', 'MumbaiPolice']",Twitter for Android,False
"Delhi,India",2019-01-07 03:04:33,8,120,278,False,2020-08-11 10:14:37,who killed #sushant Singh Rajput ????,['sushant'],Twitter for Android,False
"Punjab, India",2016-03-26 03:27:35,15,340,41,False,2020-08-11 07:01:46,Chronology of events in Sushant Singh Rajput death case https://t.co/efiScgecNE via @YouTube #sushant… https://t.co/7R9wFQ8vl3,['sushant'],Twitter Web App,False
